date,city,total_consumption,residential,commercial,industrial,cooling_specific
2022-10-26,Los Angeles,10286,4383,3822,2128,1602
2022-10-27,Los Angeles,11006,4171,2861,1242,1498
2022-10-28,Los Angeles,12684,5705,2968,1447,2110
2022-10-29,Los Angeles,9469,3992,3551,2201,1498
2022-10-30,Los Angeles,13087,4695,4585,2304,1931
2022-10-31,Los Angeles,12490,4383,3142,2999,1373
2022-11-01,Los Angeles,12553,5376,4343,3172,1458
2022-11-02,Los Angeles,12467,5721,4105,1410,1779
2022-11-03,Los Angeles,11890,4107,4411,2167,1703
2022-11-04,Los Angeles,11724,3627,2782,2694,1289
2022-11-05,Los Angeles,12815,4853,2618,2766,2475
2022-11-06,Los Angeles,13386,5198,3667,3530,2478
2022-11-07,Los Angeles,12791,4674,2812,3720,1365
2022-11-08,Los Angeles,11295,3654,3606,1686,1840
2022-11-09,Los Angeles,11433,5460,3828,3266,2204
2022-11-10,Los Angeles,12383,5486,3225,2860,2304
2022-11-11,Los Angeles,11552,4878,3863,2984,1380
2022-11-12,Los Angeles,14295,6939,3212,3083,1927
2022-11-13,Los Angeles,12116,5293,4754,2850,1260
2022-11-14,Los Angeles,10691,5046,2843,3131,1211
2022-11-15,Los Angeles,12113,5773,4811,3385,2224
2022-11-16,Los Angeles,11524,4033,4039,2651,1465
2022-11-17,Los Angeles,12481,4445,4755,2286,1398
2022-11-18,Los Angeles,13587,5816,5178,3143,1434
2022-11-19,Los Angeles,12637,3969,3941,2360,1295
2022-11-20,Los Angeles,10350,4485,2429,1595,1068
2022-11-21,Los Angeles,11239,5377,4219,1154,2133
2022-11-22,Los Angeles,12077,4408,3378,2833,1898
2022-11-23,Los Angeles,11709,5453,3639,2437,1385
2022-11-24,Los Angeles,11170,4754,2730,1974,2071
2022-11-25,Los Angeles,13892,5784,3288,3060,1546
2022-11-26,Los Angeles,10700,5256,3554,1400,1082
2022-11-27,Los Angeles,11665,5429,4553,2645,1551
2022-11-28,Los Angeles,12169,4340,3652,2563,2344
2022-11-29,Los Angeles,13364,4341,5255,3524,1652
2022-11-30,Los Angeles,13128,4754,4306,2785,1406
2022-12-01,Los Angeles,11409,4902,2528,3265,1819
2022-12-02,Los Angeles,12672,5721,3183,2110,1940
2022-12-03,Los Angeles,11456,4349,4389,3428,2058
2022-12-04,Los Angeles,13689,5147,3775,3331,2240
2022-12-05,Los Angeles,13688,5346,3819,1389,2713
2022-12-06,Los Angeles,12168,4906,2771,1760,1591
2022-12-07,Los Angeles,12714,4249,4028,1623,2300
2022-12-08,Los Angeles,11083,4538,3626,1181,1780
2022-12-09,Los Angeles,9844,4745,2020,1502,1270
2022-12-10,Los Angeles,11446,4349,3512,1867,1567
2022-12-11,Los Angeles,13172,6511,3365,3917,1400
2022-12-12,Los Angeles,11800,4115,3159,3106,2294
2022-12-13,Los Angeles,12940,5076,4045,1794,2416
2022-12-14,Los Angeles,12385,6043,2920,2217,1848
2022-12-15,Los Angeles,11834,5360,3498,1943,1826
2022-12-16,Los Angeles,12392,3963,3958,3011,1960
2022-12-17,Los Angeles,11439,4849,3457,2393,2113
2022-12-18,Los Angeles,11822,4936,4581,1854,1734
2022-12-19,Los Angeles,10470,4905,2674,1804,1810
2022-12-20,Los Angeles,11914,5393,3461,1287,1607
2022-12-21,Los Angeles,11623,4728,3758,1757,1437
2022-12-22,Los Angeles,11092,4689,3042,2199,1813
2022-12-23,Los Angeles,13381,5512,2682,2367,1732
2022-12-24,Los Angeles,12602,5247,2643,2477,1614
2022-12-25,Los Angeles,12771,4483,2830,3457,1840
2022-12-26,Los Angeles,11534,5093,2316,2700,2010
2022-12-27,Los Angeles,11793,4814,2827,1947,2038
2022-12-28,Los Angeles,10972,5451,2604,3147,1129
2022-12-29,Los Angeles,12680,5803,4709,2082,1455
2022-12-30,Los Angeles,11481,3477,3019,2494,1631
2022-12-31,Los Angeles,12036,4008,2554,2182,1758
2023-01-01,Los Angeles,12301,3959,4634,3617,1677
2023-01-02,Los Angeles,11647,4067,3866,2525,1916
2023-01-03,Los Angeles,11271,4544,4260,2466,1669
2023-01-04,Los Angeles,11768,4367,3739,3293,2219
2023-01-05,Los Angeles,11558,5778,3201,1458,1989
2023-01-06,Los Angeles,10521,4066,4103,1600,1503
2023-01-07,Los Angeles,13453,4744,4322,3235,1866
2023-01-08,Los Angeles,10983,4194,3905,3103,1504
2023-01-09,Los Angeles,12098,5182,3319,3292,1850
2023-01-10,Los Angeles,13174,5488,3275,2947,1953
2023-01-11,Los Angeles,13470,5201,2785,3638,1387
2023-01-12,Los Angeles,11196,3401,4284,1531,1355
2023-01-13,Los Angeles,12024,3663,2617,2349,1270
2023-01-14,Los Angeles,12189,5037,4758,2751,1814
2023-01-15,Los Angeles,12702,5550,3573,1398,2033
2023-01-16,Los Angeles,13820,6190,3136,1635,2493
2023-01-17,Los Angeles,9475,4508,3628,2471,1220
2023-01-18,Los Angeles,12540,5435,3105,2342,2017
2023-01-19,Los Angeles,11534,4326,3750,3028,1641
2023-01-20,Los Angeles,9291,4511,3593,2093,1685
2023-01-21,Los Angeles,12187,4542,2809,2093,1222
2023-01-22,Los Angeles,13176,6492,4196,1756,1595
2023-01-23,Los Angeles,12008,5279,2465,1677,2220
2023-01-24,Los Angeles,12475,5766,3352,3660,1586
2023-01-25,Los Angeles,11958,3684,2556,1554,1340
2023-01-26,Los Angeles,11827,3739,4660,3136,1787
2023-01-27,Los Angeles,11022,3463,4076,2552,2068
2023-01-28,Los Angeles,12971,4235,3370,2783,1404
2023-01-29,Los Angeles,12172,6077,2927,1427,1345
2023-01-30,Los Angeles,13463,6445,3403,3179,2315
2023-01-31,Los Angeles,12505,6103,2876,3415,1311
2023-02-01,Los Angeles,11296,5145,3307,1813,1203
2023-02-02,Los Angeles,12725,4193,3487,1762,2349
2023-02-03,Los Angeles,11202,4048,2807,1936,1601
2023-02-04,Los Angeles,9798,3874,3834,1560,1072
2023-02-05,Los Angeles,13083,4496,2769,3743,1981
2023-02-06,Los Angeles,10593,4633,2757,2415,1183
2023-02-07,Los Angeles,11272,5237,2453,2574,1423
2023-02-08,Los Angeles,8318,3352,3325,898,868
2023-02-09,Los Angeles,12160,5753,4837,1933,1610
2023-02-10,Los Angeles,13257,5338,5185,1506,1718
2023-02-11,Los Angeles,12522,4863,3045,3573,2145
2023-02-12,Los Angeles,13141,4794,3030,1739,1975
2023-02-13,Los Angeles,13439,6609,2820,2500,1568
2023-02-14,Los Angeles,11016,4495,4189,3149,1254
2023-02-15,Los Angeles,12450,4565,4219,3671,2233
2023-02-16,Los Angeles,12456,5482,4479,2801,1425
2023-02-17,Los Angeles,11725,5647,4024,2835,1555
2023-02-18,Los Angeles,13599,4496,3646,3378,2678
2023-02-19,Los Angeles,11109,4342,4155,2663,1572
2023-02-20,Los Angeles,12133,3662,4397,1808,1466
2023-02-21,Los Angeles,11940,4084,4585,2522,2194
2023-02-22,Los Angeles,11272,4466,4198,1319,1773
2023-02-23,Los Angeles,11657,3966,4125,1491,1355
2023-02-24,Los Angeles,12520,3783,4544,2911,1842
2023-02-25,Los Angeles,13430,6347,5083,3091,2660
2023-02-26,Los Angeles,13215,5148,4442,2360,2584
2023-02-27,Los Angeles,12933,5002,3810,2357,2106
2023-02-28,Los Angeles,11648,3515,4588,2312,1343
2023-03-01,Los Angeles,12389,4975,4522,3005,1391
2023-03-02,Los Angeles,12487,5300,4346,3444,2271
2023-03-03,Los Angeles,10836,3381,2321,2348,1631
2023-03-04,Los Angeles,13521,5625,4725,3122,1535
2023-03-05,Los Angeles,10910,5014,2401,3173,1659
2023-03-06,Los Angeles,11060,3363,3852,2038,1305
2023-03-07,Los Angeles,13567,5251,3367,3984,2365
2023-03-08,Los Angeles,11642,3964,3237,1389,2296
2023-03-09,Los Angeles,12329,4628,3557,3299,2424
2023-03-10,Los Angeles,11967,4179,3582,1932,1739
2023-03-11,Los Angeles,11081,3415,2733,2070,1353
2023-03-12,Los Angeles,11866,4039,4265,3514,2246
2023-03-13,Los Angeles,13013,5570,3942,1714,1747
2023-03-14,Los Angeles,11443,4443,4430,2991,1480
2023-03-15,Los Angeles,10787,4720,4279,3117,1814
2023-03-16,Los Angeles,12889,4107,2781,3865,1954
2023-03-17,Los Angeles,12554,3878,4189,3541,1639
2023-03-18,Los Angeles,11494,5410,3262,3081,1840
2023-03-19,Los Angeles,11882,4240,2534,2999,1648
2023-03-20,Los Angeles,10901,4360,2592,2626,2085
2023-03-21,Los Angeles,11675,5711,3520,2362,1687
2023-03-22,Los Angeles,12155,4566,3042,2218,2345
2023-03-23,Los Angeles,12901,5398,2846,3572,1677
2023-03-24,Los Angeles,14222,5467,4679,4007,2572
2023-03-25,Los Angeles,11829,3899,3171,2400,1485
2023-03-26,Los Angeles,11200,3367,4390,2368,1224
2023-03-27,Los Angeles,11477,5557,3201,1491,1663
2023-03-28,Los Angeles,12894,4018,2969,1360,2306
2023-03-29,Los Angeles,10910,4985,2322,1368,1684
2023-03-30,Los Angeles,12224,5845,3933,1587,2293
2023-03-31,Los Angeles,11842,5265,3039,2796,1267
2023-04-01,Los Angeles,13034,5078,3249,3544,2043
2023-04-02,Los Angeles,11923,4227,3468,2108,2130
2023-04-03,Los Angeles,12051,3981,4364,1513,2257
2023-04-04,Los Angeles,12298,5484,3081,1745,2428
2023-04-05,Los Angeles,10624,3216,3439,2309,1909
2023-04-06,Los Angeles,12779,5443,4909,3081,1437
2023-04-07,Los Angeles,11350,5006,3532,1172,1702
2023-04-08,Los Angeles,13066,5561,3243,2190,1573
2023-04-09,Los Angeles,9908,4308,2346,2939,1195
2023-04-10,Los Angeles,11336,3518,3719,3340,1690
2023-04-11,Los Angeles,11750,5043,3974,3293,2038
2023-04-12,Los Angeles,12816,4177,3161,3289,1298
2023-04-13,Los Angeles,11523,5744,2456,1684,1760
2023-04-14,Los Angeles,10635,4658,2864,3020,1916
2023-04-15,Los Angeles,12619,6020,4373,3441,2274
2023-04-16,Los Angeles,11233,4794,2606,1870,1537
2023-04-17,Los Angeles,11830,3758,3153,2956,1904
2023-04-18,Los Angeles,12481,4825,3400,2016,2411
2023-04-19,Los Angeles,12284,5758,3889,1444,1488
2023-04-20,Los Angeles,11648,4632,4124,2734,1193
2023-04-21,Los Angeles,13420,5806,4356,2371,1419
2023-04-22,Los Angeles,12584,4069,3176,3273,1667
2023-04-23,Los Angeles,12521,4695,3328,2183,1457
2023-04-24,Los Angeles,10732,4106,3744,1710,1331
2023-04-25,Los Angeles,11944,4756,3446,3026,2306
2023-04-26,Los Angeles,12968,5834,2657,2671,2068
2023-04-27,Los Angeles,12720,4038,3207,1809,1312
2023-04-28,Los Angeles,14025,6263,4528,3692,1614
2023-04-29,Los Angeles,12046,5704,3579,1451,2079
2023-04-30,Los Angeles,11213,5592,2859,2776,1583
2023-05-01,Los Angeles,13192,5529,4921,3811,2454
2023-05-02,Los Angeles,10187,3837,2646,1937,1569
2023-05-03,Los Angeles,12088,4822,4462,3470,2279
2023-05-04,Los Angeles,12009,5032,4342,1387,2334
2023-05-05,Los Angeles,13157,4384,4670,1847,2331
2023-05-06,Los Angeles,9482,4593,2468,2774,1019
2023-05-07,Los Angeles,11667,5420,4456,2351,1946
2023-05-08,Los Angeles,11292,5290,2293,2041,1362
2023-05-09,Los Angeles,11982,5097,3185,2564,1257
2023-05-10,Los Angeles,11928,4815,4624,1415,1663
2023-05-11,Los Angeles,10460,4892,2221,2271,1216
2023-05-12,Los Angeles,10483,4580,2438,1066,1921
2023-05-13,Los Angeles,11668,5730,4104,2567,1230
2023-05-14,Los Angeles,11504,4375,4544,2169,1389
2023-05-15,Los Angeles,11847,5174,4722,1966,2003
2023-05-16,Los Angeles,11864,5506,2721,1424,1980
2023-05-17,Los Angeles,12802,4065,4421,1923,2423
2023-05-18,Los Angeles,12610,5037,3073,1492,2382
2023-05-19,Los Angeles,11808,5164,3303,1364,1701
2023-05-20,Los Angeles,13286,4688,4459,3942,2523
2023-05-21,Los Angeles,12077,5426,4180,1719,1824
2023-05-22,Los Angeles,12324,5800,2731,2252,2260
2023-05-23,Los Angeles,12361,5627,4938,2023,2232
2023-05-24,Los Angeles,12963,6259,5185,3150,1449
2023-05-25,Los Angeles,12463,4141,4552,1574,2385
2023-05-26,Los Angeles,11243,4788,3983,1215,2195
2023-05-27,Los Angeles,10778,3543,4183,1287,1506
2023-05-28,Los Angeles,11385,4612,3006,2184,1584
2023-05-29,Los Angeles,12291,5632,3474,2711,1436
2023-05-30,Los Angeles,11509,5197,3688,1170,1655
2023-05-31,Los Angeles,11625,5266,2773,1593,2177
2023-06-01,Los Angeles,10747,3451,3723,2109,1468
2023-06-02,Los Angeles,10468,4192,3699,1308,1311
2023-06-03,Los Angeles,12075,4723,2451,1954,2034
2023-06-04,Los Angeles,11181,4762,4352,1752,1478
2023-06-05,Los Angeles,12135,5201,2563,3474,1742
2023-06-06,Los Angeles,10923,4311,4076,1832,2083
2023-06-07,Los Angeles,12286,5047,2651,1367,1387
2023-06-08,Los Angeles,11294,4942,4019,1379,1438
2023-06-09,Los Angeles,11795,5842,3404,1742,1225
2023-06-10,Los Angeles,12043,4299,3752,2185,1554
2023-06-11,Los Angeles,12704,5825,3618,1498,2493
2023-06-12,Los Angeles,13102,4954,4647,3374,1823
2023-06-13,Los Angeles,10863,4601,2684,3076,1248
2023-06-14,Los Angeles,12997,6376,3045,2957,2286
2023-06-15,Los Angeles,12407,4270,3689,3054,1633
2023-06-16,Los Angeles,12967,5843,4375,3739,1651
2023-06-17,Los Angeles,13455,4896,3606,2906,2389
2023-06-18,Los Angeles,11325,4822,3863,3040,1204
2023-06-19,Los Angeles,12756,5315,2620,1373,2237
2023-06-20,Los Angeles,11973,4335,3078,1440,2322
2023-06-21,Los Angeles,12139,5959,2484,2335,1906
2023-06-22,Los Angeles,13640,5798,3999,2648,2116
2023-06-23,Los Angeles,12408,4652,2816,2743,1495
2023-06-24,Los Angeles,10241,3175,3919,1107,1784
2023-06-25,Los Angeles,13434,4792,4447,3896,1538
2023-06-26,Los Angeles,10738,5065,2833,2441,1926
2023-06-27,Los Angeles,12304,4906,3384,2559,2010
2023-06-28,Los Angeles,12393,4021,3249,2836,2333
2023-06-29,Los Angeles,11817,4562,3655,2217,2216
2023-06-30,Los Angeles,9836,4650,2876,1187,1787
2023-07-01,Los Angeles,11859,5902,3144,3386,2076
2023-07-02,Los Angeles,11506,5165,2852,1307,1153
2023-07-03,Los Angeles,10982,4078,3145,2407,1229
2023-07-04,Los Angeles,11805,5723,2390,3231,1232
2023-07-05,Los Angeles,12362,3927,2726,1266,2298
2023-07-06,Los Angeles,11383,4240,3337,2300,1919
2023-07-07,Los Angeles,14194,5539,4277,3696,2008
2023-07-08,Los Angeles,9614,3009,3007,2299,1069
2023-07-09,Los Angeles,13257,4590,5162,1705,2223
2023-07-10,Los Angeles,10116,4653,3892,1065,1021
2023-07-11,Los Angeles,9870,2977,3476,2192,1034
2023-07-12,Los Angeles,10003,4531,2859,1006,1240
2023-07-13,Los Angeles,13243,6406,5294,3484,1576
2023-07-14,Los Angeles,11086,3950,2316,1789,1998
2023-07-15,Los Angeles,12586,4556,2740,2954,1358
2023-07-16,Los Angeles,12429,5966,3701,1854,2045
2023-07-17,Los Angeles,13163,4157,4842,1844,1996
2023-07-18,Los Angeles,12691,5404,4189,2955,1371
2023-07-19,Los Angeles,11637,3692,3247,3425,1343
2023-07-20,Los Angeles,13530,6272,3792,3399,2674
2023-07-21,Los Angeles,11970,4910,4353,3108,2104
2023-07-22,Los Angeles,10680,4434,3615,2979,1627
2023-07-23,Los Angeles,12275,6127,3367,1978,1656
2023-07-24,Los Angeles,12610,5721,4255,3335,2256
2023-07-25,Los Angeles,11590,3941,4432,2396,1402
2023-07-26,Los Angeles,14076,6559,3319,3240,2642
2023-07-27,Los Angeles,11364,5026,3937,2014,1283
2023-07-28,Los Angeles,12680,4238,3266,3068,2185
2023-07-29,Los Angeles,13250,4139,5043,1867,1700
2023-07-30,Los Angeles,12517,6144,4050,1568,2361
2023-07-31,Los Angeles,11081,3963,2636,2240,1544
2023-08-01,Los Angeles,11269,3570,4198,1559,2056
2023-08-02,Los Angeles,11634,5396,3223,2703,1426
2023-08-03,Los Angeles,11252,4613,3942,2562,1527
2023-08-04,Los Angeles,12349,5942,3588,2524,1268
2023-08-05,Los Angeles,11266,3960,4225,2875,1208
2023-08-06,Los Angeles,12559,5485,3416,3547,1562
2023-08-07,Los Angeles,12582,3995,4560,2042,1267
2023-08-08,Los Angeles,11948,3740,4308,2667,2060
2023-08-09,Los Angeles,11445,4332,2639,1824,1890
2023-08-10,Los Angeles,12245,4509,3559,3165,1846
2023-08-11,Los Angeles,12756,5527,3918,1494,1399
2023-08-12,Los Angeles,14140,5646,4588,2623,2328
2023-08-13,Los Angeles,12193,5406,3730,1364,2279
2023-08-14,Los Angeles,11855,5297,2995,2578,2204
2023-08-15,Los Angeles,13068,3928,3885,3175,2022
2023-08-16,Los Angeles,10299,3253,4066,1391,1942
2023-08-17,Los Angeles,11875,5257,3074,1839,1357
2023-08-18,Los Angeles,11958,4055,2450,2422,1965
2023-08-19,Los Angeles,12441,5221,4255,2066,2038
2023-08-20,Los Angeles,10824,4259,3651,1922,1577
2023-08-21,Los Angeles,13214,6515,4661,2737,1859
2023-08-22,Los Angeles,11018,3801,3497,2836,1492
2023-08-23,Los Angeles,9622,3045,2293,2748,1897
2023-08-24,Los Angeles,11843,3622,2752,2746,1809
2023-08-25,Los Angeles,11498,5158,4029,1334,1657
2023-08-26,Los Angeles,10732,4164,3252,2127,1865
2023-08-27,Los Angeles,11531,4198,3894,1202,2051
2023-08-28,Los Angeles,12202,5692,4437,3085,1745
2023-08-29,Los Angeles,13563,5123,4784,2786,2011
2023-08-30,Los Angeles,11770,5002,2952,3059,1481
2023-08-31,Los Angeles,10349,4975,3592,1533,1045
2023-09-01,Los Angeles,11228,4874,2356,1128,1850
2023-09-02,Los Angeles,13643,5733,2762,2719,2242
2023-09-03,Los Angeles,9053,4403,2055,1337,1289
2023-09-04,Los Angeles,12988,5071,3846,1801,1452
2023-09-05,Los Angeles,10725,3418,3683,1311,1835
2023-09-06,Los Angeles,11740,5752,2713,1265,1203
2023-09-07,Los Angeles,11634,4870,2457,3001,1249
2023-09-08,Los Angeles,13111,4991,4556,3769,2182
2023-09-09,Los Angeles,9646,4232,3319,1168,1218
2023-09-10,Los Angeles,12457,4658,4237,2564,1675
2023-09-11,Los Angeles,12575,3850,3584,2844,1863
2023-09-12,Los Angeles,12419,4225,4483,2880,2151
2023-09-13,Los Angeles,14129,5870,3198,2604,2134
2023-09-14,Los Angeles,11176,3622,3804,1591,2187
2023-09-15,Los Angeles,10734,4708,3657,1960,1505
2023-09-16,Los Angeles,11026,3839,4297,1537,1896
2023-09-17,Los Angeles,11991,5268,3791,2677,1778
2023-09-18,Los Angeles,10624,3237,3264,1638,1197
2023-09-19,Los Angeles,11599,5643,4550,1517,2012
2023-09-20,Los Angeles,11354,3713,3423,1288,1855
2023-09-21,Los Angeles,12554,5859,2688,1535,1982
2023-09-22,Los Angeles,12042,5845,2584,2836,2255
2023-09-23,Los Angeles,11663,4506,3390,2891,1476
2023-09-24,Los Angeles,10171,3315,3430,2648,1067
2023-09-25,Los Angeles,13234,6491,4921,1492,2256
2023-09-26,Los Angeles,11272,5567,3894,2613,1846
2023-09-27,Los Angeles,11988,3751,3190,2902,1265
2023-09-28,Los Angeles,12007,4427,2922,1778,1349
2023-09-29,Los Angeles,10386,3496,3064,2313,1519
2023-09-30,Los Angeles,13164,6347,5104,1754,2034
2023-10-01,Los Angeles,11770,5532,3262,1536,2089
2023-10-02,Los Angeles,11921,4748,3946,2096,2033
2023-10-03,Los Angeles,12820,4418,3145,2522,1364
2023-10-04,Los Angeles,11059,5009,4078,2534,1600
2023-10-05,Los Angeles,12943,5706,2946,2776,1857
2023-10-06,Los Angeles,12502,5605,2837,3427,1705
2023-10-07,Los Angeles,12820,4408,4340,1869,1581
2023-10-08,Los Angeles,13330,6526,3128,3091,1414
2023-10-09,Los Angeles,11765,4615,3095,1784,2305
2023-10-10,Los Angeles,11067,5205,3133,2276,2134
2023-10-11,Los Angeles,13253,5278,3298,2453,1404
2023-10-12,Los Angeles,12283,4472,4796,3169,2064
2023-10-13,Los Angeles,13096,3995,3783,2795,2219
2023-10-14,Los Angeles,11473,5110,2683,3153,1302
2023-10-15,Los Angeles,11269,4633,3124,1476,1979
2023-10-16,Los Angeles,10902,3340,2385,1553,1709
2023-10-17,Los Angeles,12674,5227,3363,1999,2432
2023-10-18,Los Angeles,10904,4662,2919,2432,1567
2023-10-19,Los Angeles,12107,6014,3419,1456,1419
2023-10-20,Los Angeles,11595,4801,3498,3168,1685
2023-10-21,Los Angeles,11778,4408,2963,2428,1536
2023-10-22,Los Angeles,11287,3602,3218,2544,1610
2023-10-23,Los Angeles,12690,4350,2728,2360,2253
2023-10-24,Los Angeles,13268,6542,3849,2354,2393
2023-10-25,Los Angeles,11904,3741,3255,1686,1811
2023-10-26,Los Angeles,11695,3761,2455,2312,1590
2023-10-27,Los Angeles,11869,4919,3574,2326,2210
2023-10-28,Los Angeles,11836,5128,4545,2544,2070
2023-10-29,Los Angeles,9819,3497,3559,2737,1407
2023-10-30,Los Angeles,12715,6201,3460,1589,1712
2023-10-31,Los Angeles,11662,5779,4458,2615,1759
2023-11-01,Los Angeles,13551,6217,4019,3780,1804
2023-11-02,Los Angeles,10628,3768,3143,1593,1667
2023-11-03,Los Angeles,11468,5420,3854,3289,1516
2023-11-04,Los Angeles,12586,5561,4290,1587,2209
2023-11-05,Los Angeles,11165,3534,2594,3167,1783
2023-11-06,Los Angeles,13861,4677,4633,3505,1451
2023-11-07,Los Angeles,12518,4233,4520,2057,2226
2023-11-08,Los Angeles,11403,4240,3265,1862,2202
2023-11-09,Los Angeles,11235,4579,3461,1770,1175
2023-11-10,Los Angeles,9763,4189,2526,1859,1418
2023-11-11,Los Angeles,12898,4200,3090,3609,1763
2023-11-12,Los Angeles,13359,6028,4840,3656,2397
2023-11-13,Los Angeles,12004,5427,4362,3594,1964
2023-11-14,Los Angeles,11063,4706,3263,1828,1585
2023-11-15,Los Angeles,12303,3769,3206,2846,2167
2023-11-16,Los Angeles,12716,5297,4215,3252,1764
2023-11-17,Los Angeles,11737,5604,2661,2448,1266
2023-11-18,Los Angeles,12633,5859,3143,2788,1714
2023-11-19,Los Angeles,11727,5540,3653,2705,1704
2023-11-20,Los Angeles,10493,4445,2895,2702,1908
2023-11-21,Los Angeles,12572,4035,4779,2050,1761
2023-11-22,Los Angeles,11168,3540,4461,2994,1352
2023-11-23,Los Angeles,12936,4358,2797,2744,1522
2023-11-24,Los Angeles,11452,4566,2924,2412,2095
2023-11-25,Los Angeles,10547,3574,4077,1511,1509
2023-11-26,Los Angeles,10754,5083,3931,1187,2037
2023-11-27,Los Angeles,12315,4769,2881,3633,2238
2023-11-28,Los Angeles,12965,4572,3945,3623,1491
2023-11-29,Los Angeles,12986,5523,2799,3109,1937
2023-11-30,Los Angeles,12986,4179,2651,1730,1638
2023-12-01,Los Angeles,10992,4584,4097,2564,1306
2023-12-02,Los Angeles,12927,5643,4004,1304,2131
2023-12-03,Los Angeles,13274,6543,4266,2814,2477
2023-12-04,Los Angeles,11286,4592,3190,1567,1730
2023-12-05,Los Angeles,11060,4766,4345,2569,1963
2023-12-06,Los Angeles,11065,4219,3582,3237,1159
2023-12-07,Los Angeles,12854,6270,3044,1918,2378
2023-12-08,Los Angeles,11208,4163,3264,3159,1507
2023-12-09,Los Angeles,11169,4842,4049,2310,1621
2023-12-10,Los Angeles,12278,3707,3081,1445,1910
2023-12-11,Los Angeles,12072,5608,4180,1523,1925
2023-12-12,Los Angeles,11778,4571,3174,3474,1370
2023-12-13,Los Angeles,12969,6197,4389,1484,2336
2023-12-14,Los Angeles,12638,6255,4525,2276,2247
2023-12-15,Los Angeles,13211,5748,5146,2103,2592
2023-12-16,Los Angeles,13237,4270,5112,3917,2498
2023-12-17,Los Angeles,10867,4917,2454,1146,1825
2023-12-18,Los Angeles,10502,4510,3609,2435,1378
2023-12-19,Los Angeles,13510,4564,4909,3545,2393
2023-12-20,Los Angeles,10804,3433,2428,2759,1702
2023-12-21,Los Angeles,12795,4747,4968,2783,2172
2023-12-22,Los Angeles,12316,5223,4844,2245,1983
2023-12-23,Los Angeles,11546,5637,3827,1287,2106
2023-12-24,Los Angeles,13573,4582,3314,2526,2432
2023-12-25,Los Angeles,13564,4741,5209,3238,1385
2023-12-26,Los Angeles,10377,3512,3117,1266,1275
2023-12-27,Los Angeles,11365,4443,2414,2291,1912
2023-12-28,Los Angeles,12337,5676,4814,3118,1259
2023-12-29,Los Angeles,12508,5320,4242,2351,2337
2023-12-30,Los Angeles,13200,4476,3864,1474,1403
2023-12-31,Los Angeles,12222,4482,4436,1356,1358
2024-01-01,Los Angeles,13309,5036,3663,3881,1861
2024-01-02,Los Angeles,13086,4164,3183,3036,1394
2024-01-03,Los Angeles,9354,3460,2389,2375,1077
2024-01-04,Los Angeles,10483,4957,2895,2825,2009
2024-01-05,Los Angeles,12390,4826,3539,3406,1954
2024-01-06,Los Angeles,13854,5059,3323,1699,1720
2024-01-07,Los Angeles,12009,5142,4436,2822,2302
2024-01-08,Los Angeles,12248,5493,4870,2587,2203
2024-01-09,Los Angeles,13080,3927,4460,1621,1417
2024-01-10,Los Angeles,12002,3861,2403,1867,1877
2024-01-11,Los Angeles,12608,3901,4598,2312,1464
2024-01-12,Los Angeles,13075,6518,4753,3748,1509
2024-01-13,Los Angeles,10643,3945,3291,1725,1281
2024-01-14,Los Angeles,13361,4191,4133,2556,1513
2024-01-15,Los Angeles,10101,3238,3386,1455,1440
2024-01-16,Los Angeles,11535,4846,3956,2513,2089
2024-01-17,Los Angeles,11483,4187,3268,2547,1726
2024-01-18,Los Angeles,12909,5964,4601,3157,1484
2024-01-19,Los Angeles,14826,6629,3429,3910,2171
2024-01-20,Los Angeles,10898,3292,2918,1972,2010
2024-01-21,Los Angeles,14143,4535,4546,3765,1619
2024-01-22,Los Angeles,13326,6423,4995,3024,2007
2024-01-23,Los Angeles,11587,5587,4386,2495,2019
2024-01-24,Los Angeles,12584,4576,3436,2220,1387
2024-01-25,Los Angeles,12677,5199,4034,2973,1826
2024-01-26,Los Angeles,11319,4518,4499,1265,1697
2024-01-27,Los Angeles,12852,4782,3751,1974,1885
2024-01-28,Los Angeles,11261,4677,2651,2717,1171
2024-01-29,Los Angeles,12138,5293,3664,2208,1635
2024-01-30,Los Angeles,11140,5083,2783,2874,1125
2024-01-31,Los Angeles,12147,5516,2467,2268,2397
2024-02-01,Los Angeles,11940,3942,2793,1334,2200
2024-02-02,Los Angeles,14622,6297,3896,2123,2388
2024-02-03,Los Angeles,10290,3620,2423,1972,1325
2024-02-04,Los Angeles,12774,5581,2833,3791,2170
2024-02-05,Los Angeles,13960,6881,4136,3415,1419
2024-02-06,Los Angeles,11984,5443,2493,1371,1605
2024-02-07,Los Angeles,14136,5439,5586,2668,2399
2024-02-08,Los Angeles,13085,5223,4379,1520,1326
2024-02-09,Los Angeles,10566,5191,2262,1516,1796
2024-02-10,Los Angeles,13227,4574,2721,3187,1484
2024-02-11,Los Angeles,12280,6072,3989,2631,2441
2024-02-12,Los Angeles,11426,3997,3865,1720,1509
2024-02-13,Los Angeles,13098,5655,5200,1959,2441
2024-02-14,Los Angeles,11961,4671,3565,2048,2357
2024-02-15,Los Angeles,11074,4467,4352,2492,1240
2024-02-16,Los Angeles,10305,4249,3529,2725,1555
2024-02-17,Los Angeles,11758,4386,2604,3379,1356
2024-02-18,Los Angeles,12157,3973,2490,1769,2112
