date,city,heat_related_illnesses,respiratory_issues,mental_health_reports
2021-12-18,Los Angeles,22,53,12
2021-12-19,Los Angeles,21,48,29
2021-12-20,Los Angeles,30,73,21
2021-12-21,Los Angeles,12,26,10
2021-12-22,Los Angeles,25,57,33
2021-12-23,Los Angeles,22,46,27
2021-12-24,Los Angeles,20,35,21
2021-12-25,Los Angeles,10,17,13
2021-12-26,Los Angeles,17,25,18
2021-12-27,Los Angeles,18,29,24
2021-12-28,Los Angeles,35,78,46
2021-12-29,Los Angeles,24,43,19
2021-12-30,Los Angeles,29,43,41
2021-12-31,Los Angeles,22,40,12
2022-01-01,Los Angeles,30,67,15
2022-01-02,Los Angeles,27,42,15
2022-01-03,Los Angeles,39,92,22
2022-01-04,Los Angeles,21,43,18
2022-01-05,Los Angeles,27,54,35
2022-01-06,Los Angeles,30,67,21
2022-01-07,Los Angeles,18,40,13
2022-01-08,Los Angeles,9,13,7
2022-01-09,Los Angeles,37,66,27
2022-01-10,Los Angeles,22,53,27
2022-01-11,Los Angeles,33,78,26
2022-01-12,Los Angeles,28,43,24
2022-01-13,Los Angeles,26,49,38
2022-01-14,Los Angeles,21,41,27
2022-01-15,Los Angeles,11,24,14
2022-01-16,Los Angeles,27,42,39
2022-01-17,Los Angeles,20,35,14
2022-01-18,Los Angeles,26,46,16
2022-01-19,Los Angeles,43,77,34
2022-01-20,Los Angeles,35,61,29
2022-01-21,Los Angeles,41,70,29
2022-01-22,Los Angeles,41,70,30
2022-01-23,Los Angeles,27,43,38
2022-01-24,Los Angeles,34,74,44
2022-01-25,Los Angeles,29,61,20
2022-01-26,Los Angeles,70,116,93
2022-01-27,Los Angeles,27,51,19
2022-01-28,Los Angeles,39,69,47
2022-01-29,Los Angeles,22,38,29
2022-01-30,Los Angeles,30,73,24
2022-01-31,Los Angeles,31,62,29
2022-02-01,Los Angeles,47,86,39
2022-02-02,Los Angeles,42,80,39
2022-02-03,Los Angeles,53,111,70
2022-02-04,Los Angeles,28,46,14
2022-02-05,Los Angeles,36,72,23
2022-02-06,Los Angeles,43,66,28
2022-02-07,Los Angeles,42,87,21
2022-02-08,Los Angeles,27,43,15
2022-02-09,Los Angeles,28,60,27
2022-02-10,Los Angeles,46,69,55
2022-02-11,Los Angeles,46,82,52
2022-02-12,Los Angeles,35,57,23
2022-02-13,Los Angeles,45,87,58
2022-02-14,Los Angeles,51,82,57
2022-02-15,Los Angeles,46,81,32
2022-02-16,Los Angeles,55,115,33
2022-02-17,Los Angeles,33,73,30
2022-02-18,Los Angeles,42,64,31
2022-02-19,Los Angeles,34,55,40
2022-02-20,Los Angeles,48,97,70
2022-02-21,Los Angeles,47,101,65
2022-02-22,Los Angeles,49,114,29
2022-02-23,Los Angeles,35,67,24
2022-02-24,Los Angeles,66,156,42
2022-02-25,Los Angeles,43,104,57
2022-02-26,Los Angeles,37,74,41
2022-02-27,Los Angeles,47,95,52
2022-02-28,Los Angeles,32,55,38
2022-03-01,Los Angeles,41,79,23
2022-03-02,Los Angeles,61,117,41
2022-03-03,Los Angeles,43,85,29
2022-03-04,Los Angeles,31,57,22
2022-03-05,Los Angeles,53,93,74
2022-03-06,Los Angeles,45,106,53
2022-03-07,Los Angeles,62,93,81
2022-03-08,Los Angeles,42,102,30
2022-03-09,Los Angeles,59,133,64
2022-03-10,Los Angeles,40,79,48
2022-03-11,Los Angeles,44,104,41
2022-03-12,Los Angeles,52,92,41
2022-03-13,Los Angeles,45,70,26
2022-03-14,Los Angeles,48,75,70
2022-03-15,Los Angeles,45,80,35
2022-03-16,Los Angeles,32,60,39
2022-03-17,Los Angeles,42,93,42
2022-03-18,Los Angeles,59,89,60
2022-03-19,Los Angeles,41,94,58
2022-03-20,Los Angeles,54,81,65
2022-03-21,Los Angeles,40,75,49
2022-03-22,Los Angeles,42,95,36
2022-03-23,Los Angeles,61,111,41
2022-03-24,Los Angeles,30,61,43
2022-03-25,Los Angeles,42,74,50
2022-03-26,Los Angeles,47,112,68
2022-03-27,Los Angeles,55,105,69
2022-03-28,Los Angeles,42,70,54
2022-03-29,Los Angeles,44,102,51
2022-03-30,Los Angeles,56,92,57
2022-03-31,Los Angeles,63,111,86
2022-04-01,Los Angeles,39,73,58
2022-04-02,Los Angeles,43,73,55
2022-04-03,Los Angeles,58,144,74
2022-04-04,Los Angeles,32,48,34
2022-04-05,Los Angeles,32,78,41
2022-04-06,Los Angeles,54,110,77
2022-04-07,Los Angeles,39,90,31
2022-04-08,Los Angeles,50,98,27
2022-04-09,Los Angeles,44,108,25
2022-04-10,Los Angeles,54,110,67
2022-04-11,Los Angeles,50,104,72
2022-04-12,Los Angeles,37,81,44
2022-04-13,Los Angeles,46,91,32
2022-04-14,Los Angeles,69,168,55
2022-04-15,Los Angeles,49,106,65
2022-04-16,Los Angeles,46,104,55
2022-04-17,Los Angeles,40,98,20
2022-04-18,Los Angeles,49,121,68
2022-04-19,Los Angeles,69,105,91
2022-04-20,Los Angeles,44,79,40
2022-04-21,Los Angeles,53,95,55
2022-04-22,Los Angeles,27,49,25
2022-04-23,Los Angeles,45,90,27
2022-04-24,Los Angeles,36,85,21
2022-04-25,Los Angeles,42,84,35
2022-04-26,Los Angeles,41,72,25
2022-04-27,Los Angeles,43,73,30
2022-04-28,Los Angeles,33,68,48
2022-04-29,Los Angeles,39,61,27
2022-04-30,Los Angeles,42,90,21
2022-05-01,Los Angeles,37,72,31
2022-05-02,Los Angeles,57,122,85
2022-05-03,Los Angeles,62,105,33
2022-05-04,Los Angeles,30,49,24
2022-05-05,Los Angeles,46,113,61
2022-05-06,Los Angeles,48,102,25
2022-05-07,Los Angeles,59,98,72
2022-05-08,Los Angeles,46,114,40
2022-05-09,Los Angeles,38,72,45
2022-05-10,Los Angeles,34,76,30
2022-05-11,Los Angeles,24,39,26
2022-05-12,Los Angeles,41,88,43
2022-05-13,Los Angeles,52,120,28
2022-05-14,Los Angeles,47,92,37
2022-05-15,Los Angeles,49,88,66
2022-05-16,Los Angeles,43,101,49
2022-05-17,Los Angeles,56,107,83
2022-05-18,Los Angeles,43,93,39
2022-05-19,Los Angeles,44,107,53
2022-05-20,Los Angeles,44,107,51
2022-05-21,Los Angeles,45,106,45
2022-05-22,Los Angeles,43,94,24
2022-05-23,Los Angeles,42,98,45
2022-05-24,Los Angeles,41,71,31
2022-05-25,Los Angeles,50,88,71
2022-05-26,Los Angeles,45,97,61
2022-05-27,Los Angeles,40,90,44
2022-05-28,Los Angeles,28,54,17
2022-05-29,Los Angeles,50,103,60
2022-05-30,Los Angeles,33,55,29
2022-05-31,Los Angeles,36,57,21
2022-06-01,Los Angeles,30,67,26
2022-06-02,Los Angeles,29,54,19
2022-06-03,Los Angeles,41,87,42
2022-06-04,Los Angeles,38,57,43
2022-06-05,Los Angeles,18,35,16
2022-06-06,Los Angeles,41,92,23
2022-06-07,Los Angeles,33,54,42
2022-06-08,Los Angeles,46,77,37
2022-06-09,Los Angeles,36,88,52
2022-06-10,Los Angeles,31,51,16
2022-06-11,Los Angeles,27,65,24
2022-06-12,Los Angeles,25,58,27
2022-06-13,Los Angeles,49,96,52
2022-06-14,Los Angeles,24,52,16
2022-06-15,Los Angeles,38,58,51
2022-06-16,Los Angeles,24,53,15
2022-06-17,Los Angeles,32,54,39
2022-06-18,Los Angeles,42,88,24
2022-06-19,Los Angeles,28,61,38
2022-06-20,Los Angeles,49,80,62
2022-06-21,Los Angeles,42,67,51
2022-06-22,Los Angeles,41,75,57
2022-06-23,Los Angeles,37,75,32
2022-06-24,Los Angeles,44,109,54
2022-06-25,Los Angeles,18,42,25
2022-06-26,Los Angeles,35,78,44
2022-06-27,Los Angeles,40,91,21
2022-06-28,Los Angeles,27,45,33
2022-06-29,Los Angeles,38,60,37
2022-06-30,Los Angeles,28,43,28
2022-07-01,Los Angeles,17,31,18
2022-07-02,Los Angeles,19,34,21
2022-07-03,Los Angeles,16,38,11
2022-07-04,Los Angeles,16,36,11
2022-07-05,Los Angeles,37,67,24
2022-07-06,Los Angeles,30,49,33
2022-07-07,Los Angeles,30,70,27
2022-07-08,Los Angeles,30,61,37
2022-07-09,Los Angeles,42,104,49
2022-07-10,Los Angeles,22,42,24
2022-07-11,Los Angeles,27,63,33
2022-07-12,Los Angeles,11,22,15
2022-07-13,Los Angeles,18,42,22
2022-07-14,Los Angeles,8,16,9
2022-07-15,Los Angeles,23,50,32
2022-07-16,Los Angeles,14,30,10
2022-07-17,Los Angeles,38,79,48
2022-07-18,Los Angeles,8,16,8
2022-07-19,Los Angeles,27,63,29
2022-07-20,Los Angeles,33,58,36
2022-07-21,Los Angeles,10,21,6
2022-07-22,Los Angeles,4,8,2
2022-07-23,Los Angeles,28,45,25
2022-07-24,Los Angeles,12,27,16
2022-07-25,Los Angeles,10,23,7
2022-07-26,Los Angeles,18,30,14
2022-07-27,Los Angeles,36,65,50
2022-07-28,Los Angeles,19,28,12
2022-07-29,Los Angeles,10,24,14
2022-07-30,Los Angeles,3,6,4
2022-07-31,Los Angeles,37,65,32
2022-08-01,Los Angeles,41,95,24
2022-08-02,Los Angeles,17,31,12
2022-08-03,Los Angeles,25,61,28
2022-08-04,Los Angeles,0,0,0
2022-08-05,Los Angeles,22,52,13
2022-08-06,Los Angeles,15,28,13
2022-08-07,Los Angeles,2,4,1
2022-08-08,Los Angeles,17,32,10
2022-08-09,Los Angeles,49,94,41
2022-08-10,Los Angeles,11,21,8
2022-08-11,Los Angeles,15,33,14
2022-08-12,Los Angeles,26,53,26
2022-08-13,Los Angeles,14,26,9
2022-08-14,Los Angeles,40,97,27
2022-08-15,Los Angeles,13,20,12
2022-08-16,Los Angeles,17,39,10
2022-08-17,Los Angeles,8,18,8
2022-08-18,Los Angeles,17,32,13
2022-08-19,Los Angeles,6,12,3
2022-08-20,Los Angeles,2,3,2
2022-08-21,Los Angeles,0,0,0
2022-08-22,Los Angeles,26,64,13
2022-08-23,Los Angeles,31,73,15
2022-08-24,Los Angeles,0,0,0
2022-08-25,Los Angeles,19,34,11
2022-08-26,Los Angeles,13,23,18
2022-08-27,Los Angeles,10,15,10
2022-08-28,Los Angeles,9,20,9
2022-08-29,Los Angeles,3,4,4
2022-08-30,Los Angeles,2,4,1
2022-08-31,Los Angeles,2,4,2
2022-09-01,Los Angeles,11,22,14
2022-09-02,Los Angeles,8,18,6
2022-09-03,Los Angeles,14,23,17
2022-09-04,Los Angeles,22,50,23
2022-09-05,Los Angeles,10,21,13
2022-09-06,Los Angeles,18,43,16
2022-09-07,Los Angeles,0,0,0
2022-09-08,Los Angeles,18,43,12
2022-09-09,Los Angeles,10,17,6
2022-09-10,Los Angeles,0,0,0
2022-09-11,Los Angeles,22,37,23
2022-09-12,Los Angeles,21,34,19
2022-09-13,Los Angeles,14,21,12
2022-09-14,Los Angeles,0,0,0
2022-09-15,Los Angeles,2,4,2
2022-09-16,Los Angeles,5,8,4
2022-09-17,Los Angeles,1,1,0
2022-09-18,Los Angeles,13,19,17
2022-09-19,Los Angeles,15,22,18
2022-09-20,Los Angeles,13,24,11
2022-09-21,Los Angeles,21,39,25
2022-09-22,Los Angeles,32,50,20
2022-09-23,Los Angeles,13,26,12
2022-09-24,Los Angeles,0,0,0
2022-09-25,Los Angeles,0,0,0
2022-09-26,Los Angeles,0,0,0
2022-09-27,Los Angeles,20,43,21
2022-09-28,Los Angeles,3,4,3
2022-09-29,Los Angeles,11,19,13
2022-09-30,Los Angeles,17,39,10
2022-10-01,Los Angeles,2,4,1
2022-10-02,Los Angeles,9,22,6
2022-10-03,Los Angeles,6,10,3
2022-10-04,Los Angeles,4,9,4
2022-10-05,Los Angeles,7,16,6
2022-10-06,Los Angeles,6,10,6
2022-10-07,Los Angeles,27,47,19
2022-10-08,Los Angeles,12,24,6
2022-10-09,Los Angeles,11,25,11
2022-10-10,Los Angeles,14,29,19
2022-10-11,Los Angeles,26,51,21
2022-10-12,Los Angeles,1,1,0
2022-10-13,Los Angeles,0,0,0
2022-10-14,Los Angeles,2,3,2
2022-10-15,Los Angeles,3,4,2
2022-10-16,Los Angeles,5,11,3
2022-10-17,Los Angeles,10,20,7
2022-10-18,Los Angeles,0,0,0
2022-10-19,Los Angeles,4,8,3
2022-10-20,Los Angeles,10,17,9
2022-10-21,Los Angeles,16,32,12
2022-10-22,Los Angeles,0,0,0
2022-10-23,Los Angeles,0,0,0
2022-10-24,Los Angeles,5,7,3
2022-10-25,Los Angeles,21,42,26
2022-10-26,Los Angeles,21,35,22
2022-10-27,Los Angeles,13,20,18
2022-10-28,Los Angeles,0,0,0
2022-10-29,Los Angeles,12,26,16
2022-10-30,Los Angeles,0,0,0
2022-10-31,Los Angeles,10,23,7
2022-11-01,Los Angeles,9,15,10
2022-11-02,Los Angeles,3,6,4
2022-11-03,Los Angeles,9,15,11
2022-11-04,Los Angeles,8,17,6
2022-11-05,Los Angeles,15,36,13
2022-11-06,Los Angeles,15,26,17
2022-11-07,Los Angeles,10,21,14
2022-11-08,Los Angeles,36,64,39
2022-11-09,Los Angeles,27,50,26
2022-11-10,Los Angeles,28,60,36
2022-11-11,Los Angeles,11,23,6
2022-11-12,Los Angeles,10,23,14
2022-11-13,Los Angeles,0,0,0
2022-11-14,Los Angeles,21,35,27
2022-11-15,Los Angeles,18,36,22
2022-11-16,Los Angeles,21,38,22
2022-11-17,Los Angeles,6,12,7
2022-11-18,Los Angeles,5,9,3
2022-11-19,Los Angeles,0,0,0
2022-11-20,Los Angeles,9,21,12
2022-11-21,Los Angeles,13,27,17
2022-11-22,Los Angeles,25,53,33
2022-11-23,Los Angeles,16,36,10
2022-11-24,Los Angeles,27,54,25
2022-11-25,Los Angeles,23,55,22
2022-11-26,Los Angeles,16,37,19
2022-11-27,Los Angeles,10,22,8
2022-11-28,Los Angeles,12,28,6
2022-11-29,Los Angeles,35,77,41
2022-11-30,Los Angeles,24,36,23
2022-12-01,Los Angeles,27,64,25
2022-12-02,Los Angeles,15,26,15
2022-12-03,Los Angeles,21,38,11
2022-12-04,Los Angeles,12,28,13
2022-12-05,Los Angeles,18,38,9
2022-12-06,Los Angeles,6,12,7
2022-12-07,Los Angeles,19,43,14
2022-12-08,Los Angeles,22,37,22
2022-12-09,Los Angeles,9,19,9
2022-12-10,Los Angeles,27,59,21
2022-12-11,Los Angeles,34,80,43
2022-12-12,Los Angeles,14,32,17
2022-12-13,Los Angeles,15,27,14
2022-12-14,Los Angeles,16,28,12
2022-12-15,Los Angeles,33,73,45
2022-12-16,Los Angeles,26,60,25
2022-12-17,Los Angeles,33,67,33
2022-12-18,Los Angeles,11,27,6
2022-12-19,Los Angeles,28,66,14
2022-12-20,Los Angeles,20,31,13
2022-12-21,Los Angeles,32,61,22
2022-12-22,Los Angeles,29,60,16
2022-12-23,Los Angeles,19,41,25
2022-12-24,Los Angeles,17,28,15
2022-12-25,Los Angeles,34,81,48
2022-12-26,Los Angeles,25,47,28
2022-12-27,Los Angeles,20,49,16
2022-12-28,Los Angeles,24,55,20
2022-12-29,Los Angeles,40,80,24
2022-12-30,Los Angeles,28,64,36
2022-12-31,Los Angeles,32,76,27
2023-01-01,Los Angeles,37,90,39
2023-01-02,Los Angeles,29,59,25
2023-01-03,Los Angeles,28,49,15
2023-01-04,Los Angeles,7,10,10
2023-01-05,Los Angeles,26,59,37
2023-01-06,Los Angeles,37,79,36
2023-01-07,Los Angeles,8,15,4
2023-01-08,Los Angeles,28,56,15
2023-01-09,Los Angeles,55,107,73
2023-01-10,Los Angeles,26,39,32
2023-01-11,Los Angeles,24,54,13
2023-01-12,Los Angeles,30,49,15
2023-01-13,Los Angeles,25,49,13
2023-01-14,Los Angeles,44,70,52
2023-01-15,Los Angeles,42,65,53
2023-01-16,Los Angeles,43,72,33
2023-01-17,Los Angeles,39,65,52
2023-01-18,Los Angeles,48,96,69
2023-01-19,Los Angeles,27,42,36
2023-01-20,Los Angeles,52,117,52
2023-01-21,Los Angeles,21,48,27
2023-01-22,Los Angeles,35,57,20
2023-01-23,Los Angeles,57,96,40
2023-01-24,Los Angeles,27,62,25
2023-01-25,Los Angeles,67,116,85
2023-01-26,Los Angeles,41,68,43
2023-01-27,Los Angeles,21,51,28
2023-01-28,Los Angeles,36,65,43
2023-01-29,Los Angeles,24,53,20
2023-01-30,Los Angeles,41,83,38
2023-01-31,Los Angeles,28,43,24
2023-02-01,Los Angeles,47,74,70
2023-02-02,Los Angeles,39,94,52
2023-02-03,Los Angeles,35,85,33
2023-02-04,Los Angeles,51,124,33
2023-02-05,Los Angeles,36,81,34
2023-02-06,Los Angeles,40,72,41
2023-02-07,Los Angeles,46,98,48
2023-02-08,Los Angeles,40,93,26
2023-02-09,Los Angeles,42,65,40
2023-02-10,Los Angeles,42,69,44
2023-02-11,Los Angeles,44,96,39
2023-02-12,Los Angeles,36,78,22
2023-02-13,Los Angeles,29,56,35
2023-02-14,Los Angeles,34,80,50
2023-02-15,Los Angeles,45,103,60
2023-02-16,Los Angeles,44,103,30
2023-02-17,Los Angeles,28,62,29
2023-02-18,Los Angeles,45,78,43
2023-02-19,Los Angeles,42,96,32
2023-02-20,Los Angeles,27,57,15
2023-02-21,Los Angeles,42,73,56
2023-02-22,Los Angeles,48,112,70
2023-02-23,Los Angeles,46,102,49
2023-02-24,Los Angeles,39,71,51
2023-02-25,Los Angeles,31,47,36
2023-02-26,Los Angeles,34,61,34
2023-02-27,Los Angeles,38,83,43
2023-02-28,Los Angeles,22,51,28
2023-03-01,Los Angeles,39,78,20
2023-03-02,Los Angeles,39,83,58
2023-03-03,Los Angeles,44,101,54
2023-03-04,Los Angeles,46,111,48
2023-03-05,Los Angeles,42,76,37
2023-03-06,Los Angeles,24,36,14
2023-03-07,Los Angeles,44,102,26
2023-03-08,Los Angeles,49,82,62
2023-03-09,Los Angeles,45,109,46
2023-03-10,Los Angeles,41,63,36
2023-03-11,Los Angeles,33,72,44
2023-03-12,Los Angeles,54,92,70
2023-03-13,Los Angeles,44,67,31
2023-03-14,Los Angeles,58,107,75
2023-03-15,Los Angeles,42,81,27
2023-03-16,Los Angeles,27,59,14
2023-03-17,Los Angeles,37,68,28
2023-03-18,Los Angeles,42,85,53
2023-03-19,Los Angeles,45,112,62
2023-03-20,Los Angeles,23,52,30
2023-03-21,Los Angeles,46,112,58
2023-03-22,Los Angeles,40,61,54
2023-03-23,Los Angeles,52,96,67
2023-03-24,Los Angeles,43,92,30
2023-03-25,Los Angeles,31,63,35
2023-03-26,Los Angeles,29,71,15
2023-03-27,Los Angeles,48,91,67
2023-03-28,Los Angeles,51,84,63
2023-03-29,Los Angeles,47,72,29
2023-03-30,Los Angeles,45,85,48
2023-03-31,Los Angeles,55,99,37
2023-04-01,Los Angeles,42,79,32
2023-04-02,Los Angeles,42,68,61
2023-04-03,Los Angeles,43,106,54
2023-04-04,Los Angeles,32,54,36
2023-04-05,Los Angeles,51,93,75
2023-04-06,Los Angeles,63,116,82
2023-04-07,Los Angeles,47,96,43
2023-04-08,Los Angeles,25,39,33
2023-04-09,Los Angeles,54,81,74
2023-04-10,Los Angeles,47,107,55
2023-04-11,Los Angeles,64,146,74
2023-04-12,Los Angeles,37,87,31
2023-04-13,Los Angeles,57,91,41
2023-04-14,Los Angeles,56,111,58
2023-04-15,Los Angeles,47,97,57
2023-04-16,Los Angeles,41,90,44
2023-04-17,Los Angeles,53,100,72
2023-04-18,Los Angeles,60,95,36
2023-04-19,Los Angeles,29,70,20
2023-04-20,Los Angeles,37,87,23
2023-04-21,Los Angeles,54,94,73
2023-04-22,Los Angeles,45,74,57
2023-04-23,Los Angeles,59,96,31
2023-04-24,Los Angeles,50,106,31
2023-04-25,Los Angeles,58,140,48
2023-04-26,Los Angeles,34,52,42
2023-04-27,Los Angeles,46,95,53
2023-04-28,Los Angeles,52,93,40
2023-04-29,Los Angeles,60,133,88
2023-04-30,Los Angeles,38,89,40
2023-05-01,Los Angeles,60,133,58
2023-05-02,Los Angeles,45,103,53
2023-05-03,Los Angeles,43,92,58
2023-05-04,Los Angeles,48,103,33
2023-05-05,Los Angeles,38,64,22
2023-05-06,Los Angeles,30,66,31
2023-05-07,Los Angeles,37,87,54
2023-05-08,Los Angeles,33,60,17
2023-05-09,Los Angeles,60,114,76
2023-05-10,Los Angeles,37,62,25
2023-05-11,Los Angeles,38,72,26
2023-05-12,Los Angeles,57,133,37
2023-05-13,Los Angeles,44,73,37
2023-05-14,Los Angeles,48,116,71
2023-05-15,Los Angeles,46,72,48
2023-05-16,Los Angeles,55,119,67
2023-05-17,Los Angeles,37,81,38
2023-05-18,Los Angeles,39,87,41
2023-05-19,Los Angeles,52,122,64
2023-05-20,Los Angeles,56,103,44
2023-05-21,Los Angeles,61,149,77
2023-05-22,Los Angeles,28,68,19
2023-05-23,Los Angeles,41,67,33
2023-05-24,Los Angeles,43,82,23
2023-05-25,Los Angeles,36,70,33
2023-05-26,Los Angeles,36,85,26
2023-05-27,Los Angeles,65,114,63
2023-05-28,Los Angeles,34,80,25
2023-05-29,Los Angeles,42,89,52
2023-05-30,Los Angeles,37,91,24
2023-05-31,Los Angeles,34,62,42
2023-06-01,Los Angeles,31,66,46
2023-06-02,Los Angeles,34,64,49
2023-06-03,Los Angeles,19,44,27
2023-06-04,Los Angeles,41,75,49
2023-06-05,Los Angeles,43,97,47
2023-06-06,Los Angeles,41,83,24
2023-06-07,Los Angeles,34,84,17
2023-06-08,Los Angeles,32,67,27
2023-06-09,Los Angeles,45,96,25
2023-06-10,Los Angeles,17,36,11
2023-06-11,Los Angeles,30,64,36
2023-06-12,Los Angeles,29,70,35
2023-06-13,Los Angeles,31,53,19
2023-06-14,Los Angeles,46,98,41
2023-06-15,Los Angeles,33,71,30
2023-06-16,Los Angeles,38,72,40
2023-06-17,Los Angeles,26,55,30
2023-06-18,Los Angeles,38,68,31
2023-06-19,Los Angeles,22,41,19
2023-06-20,Los Angeles,49,83,66
2023-06-21,Los Angeles,45,73,67
2023-06-22,Los Angeles,44,87,45
2023-06-23,Los Angeles,36,69,39
2023-06-24,Los Angeles,23,51,32
2023-06-25,Los Angeles,34,82,50
2023-06-26,Los Angeles,28,53,19
2023-06-27,Los Angeles,22,42,27
2023-06-28,Los Angeles,21,43,18
2023-06-29,Los Angeles,38,64,25
2023-06-30,Los Angeles,23,45,33
2023-07-01,Los Angeles,30,59,28
2023-07-02,Los Angeles,19,30,15
2023-07-03,Los Angeles,10,17,8
2023-07-04,Los Angeles,16,25,13
2023-07-05,Los Angeles,30,67,43
2023-07-06,Los Angeles,27,49,22
2023-07-07,Los Angeles,27,45,22
2023-07-08,Los Angeles,23,57,34
2023-07-09,Los Angeles,14,25,12
2023-07-10,Los Angeles,45,88,43
2023-07-11,Los Angeles,48,114,69
2023-07-12,Los Angeles,19,44,25
2023-07-13,Los Angeles,35,85,30
2023-07-14,Los Angeles,17,34,14
2023-07-15,Los Angeles,0,0,0
2023-07-16,Los Angeles,36,66,21
2023-07-17,Los Angeles,29,69,40
2023-07-18,Los Angeles,22,35,24
2023-07-19,Los Angeles,26,55,16
2023-07-20,Los Angeles,9,15,12
2023-07-21,Los Angeles,22,37,26
2023-07-22,Los Angeles,19,44,17
2023-07-23,Los Angeles,42,92,60
2023-07-24,Los Angeles,26,59,38
2023-07-25,Los Angeles,10,21,11
2023-07-26,Los Angeles,24,36,33
2023-07-27,Los Angeles,32,69,37
2023-07-28,Los Angeles,34,63,39
2023-07-29,Los Angeles,0,0,0
2023-07-30,Los Angeles,19,36,10
2023-07-31,Los Angeles,34,76,38
2023-08-01,Los Angeles,19,38,26
2023-08-02,Los Angeles,30,62,29
2023-08-03,Los Angeles,11,25,10
2023-08-04,Los Angeles,18,43,20
2023-08-05,Los Angeles,22,42,28
2023-08-06,Los Angeles,22,39,15
2023-08-07,Los Angeles,6,11,6
2023-08-08,Los Angeles,32,71,19
2023-08-09,Los Angeles,28,55,24
2023-08-10,Los Angeles,3,7,1
2023-08-11,Los Angeles,26,42,28
2023-08-12,Los Angeles,15,34,22
2023-08-13,Los Angeles,18,31,20
2023-08-14,Los Angeles,16,29,14
2023-08-15,Los Angeles,13,25,17
2023-08-16,Los Angeles,3,5,3
2023-08-17,Los Angeles,11,26,13
2023-08-18,Los Angeles,4,9,4
2023-08-19,Los Angeles,0,0,0
2023-08-20,Los Angeles,24,47,16
2023-08-21,Los Angeles,12,23,17
2023-08-22,Los Angeles,19,42,22
2023-08-23,Los Angeles,5,12,7
2023-08-24,Los Angeles,25,60,19
2023-08-25,Los Angeles,2,3,1
2023-08-26,Los Angeles,21,45,21
2023-08-27,Los Angeles,10,16,8
2023-08-28,Los Angeles,13,28,10
2023-08-29,Los Angeles,0,0,0
2023-08-30,Los Angeles,0,0,0
2023-08-31,Los Angeles,11,21,7
2023-09-01,Los Angeles,0,0,0
2023-09-02,Los Angeles,6,10,3
2023-09-03,Los Angeles,23,54,18
2023-09-04,Los Angeles,5,8,5
2023-09-05,Los Angeles,0,0,0
2023-09-06,Los Angeles,16,37,10
2023-09-07,Los Angeles,11,22,9
2023-09-08,Los Angeles,20,40,16
2023-09-09,Los Angeles,15,31,8
2023-09-10,Los Angeles,14,33,13
2023-09-11,Los Angeles,21,31,26
2023-09-12,Los Angeles,10,24,7
2023-09-13,Los Angeles,16,32,18
2023-09-14,Los Angeles,6,11,3
2023-09-15,Los Angeles,8,19,4
2023-09-16,Los Angeles,27,51,34
2023-09-17,Los Angeles,11,21,5
2023-09-18,Los Angeles,11,23,8
2023-09-19,Los Angeles,29,48,33
2023-09-20,Los Angeles,3,5,3
2023-09-21,Los Angeles,11,27,11
2023-09-22,Los Angeles,10,18,6
2023-09-23,Los Angeles,29,53,36
2023-09-24,Los Angeles,24,56,15
2023-09-25,Los Angeles,12,29,17
2023-09-26,Los Angeles,12,25,6
2023-09-27,Los Angeles,25,41,34
2023-09-28,Los Angeles,0,0,0
2023-09-29,Los Angeles,5,9,5
2023-09-30,Los Angeles,14,21,14
2023-10-01,Los Angeles,2,4,1
2023-10-02,Los Angeles,21,51,15
2023-10-03,Los Angeles,0,0,0
2023-10-04,Los Angeles,7,12,10
2023-10-05,Los Angeles,1,1,0
2023-10-06,Los Angeles,25,43,25
2023-10-07,Los Angeles,0,0,0
2023-10-08,Los Angeles,13,27,16
2023-10-09,Los Angeles,17,26,20
2023-10-10,Los Angeles,13,24,9
2023-10-11,Los Angeles,5,11,2
2023-10-12,Los Angeles,4,6,4
2023-10-13,Los Angeles,8,16,7
2023-10-14,Los Angeles,13,22,12
2023-10-15,Los Angeles,19,41,24
2023-10-16,Los Angeles,7,14,10
2023-10-17,Los Angeles,0,0,0
2023-10-18,Los Angeles,1,1,0
2023-10-19,Los Angeles,8,19,4
2023-10-20,Los Angeles,29,48,14
2023-10-21,Los Angeles,11,27,6
2023-10-22,Los Angeles,0,0,0
2023-10-23,Los Angeles,7,12,3
2023-10-24,Los Angeles,23,45,23
2023-10-25,Los Angeles,7,14,6
2023-10-26,Los Angeles,5,11,6
2023-10-27,Los Angeles,0,0,0
2023-10-28,Los Angeles,1,1,1
2023-10-29,Los Angeles,10,15,6
2023-10-30,Los Angeles,5,8,6
2023-10-31,Los Angeles,25,57,22
2023-11-01,Los Angeles,0,0,0
2023-11-02,Los Angeles,0,0,0
2023-11-03,Los Angeles,24,39,14
2023-11-04,Los Angeles,12,26,9
2023-11-05,Los Angeles,0,0,0
2023-11-06,Los Angeles,14,24,9
2023-11-07,Los Angeles,3,6,3
2023-11-08,Los Angeles,24,49,35
2023-11-09,Los Angeles,13,27,11
2023-11-10,Los Angeles,8,16,6
2023-11-11,Los Angeles,29,48,28
2023-11-12,Los Angeles,12,25,11
2023-11-13,Los Angeles,0,0,0
2023-11-14,Los Angeles,21,50,31
2023-11-15,Los Angeles,26,48,21
